bw000000 EXTRACT
bw000001 PARAS
bw000002 125@127
bw000003 OF
bw000004 REVENUE
bw000005 LETTER
bw000006 TO
bw000007 THE
bw000008 HONBLE
bw000009 COURT
bw000010 OF
bw000011 DIRECTORS
bw000012 DATED
bw000013 20
bw000014 NOVEMBER
bw000015 NO
bw000016 83
bw000017 OF
bw000018 1843
bw000019 SENNA
bw000020 DUKHUN
bw000021 DR
bw000022 GIBSON
bw000023 SUPER
bw000024 INTENDENT
bw000025 OF
bw000026 BO
bw000027 TANICAL
bw000028 GARDENS
bw000029 AUTHORIZED
bw000030 TO
bw000031 PURCHASE
bw000032 SENNA
bw000033 PRODUCED
bw000034 IN
bw000035 THE
bw000036 DUKHUN
bw000037 TO
bw000038 EN
bw000039 COURAGE
bw000040 THE
bw000041 CUL
bw000042 TIVATION
bw000043 125
bw000044 DR
bw000045 GIBSON
bw000046 THE
bw000047 SUPERIN
bw000048 TENDENT
bw000049 OF
bw000050 THE
bw000051 BOTANICAL
bw000052 GARDENS,
bw000053 LATELY
bw000054 REPRESENTED
bw000055 TO
bw000056 US
bw000057 THAT
bw000058 AS
bw000059 THE
bw000060 DESCRIP
bw000061 TION
bw000062 OF
bw000063 SENNA
bw000064 RAISED
bw000065 BY
bw000066 HIM
bw000067 HAD
bw000068 BEEN
bw000069 MUCH
bw000070 APPROVED
bw000071 OF
bw000072 IN
bw000073 THE
bw000074 ENGLISH
bw000075 MARKET,
bw000076 ITS
bw000077 EXTENDED
bw000078 CULTIVATION
bw000079 MIGHT
bw000080 BE
bw000081 OF
bw000082 ADV
bw000083 ANTAGE,
bw000084 ESPECIALLY
bw000085 IN
bw000086 THE
bw000087 COMPARATIVELY
bw000088 BARREN
bw000089 PORTIONS
bw000090 OF
bw000091 THE
bw000092 DUKHUN.
bw000093 THE
bw000094 RYOTS
bw000095 HOWEVER
bw000096 WOULD
bw000097 NEED
bw000098 THE
bw000099 ENCOURAGEMENT
bw000100 OF
bw000101 A
bw000102 SPEEDY
bw000103 AND
bw000104 REMUNERATING
bw000105 MARKET
bw000106 TO
bw000107 INDUCE
bw000108 THEM
bw000109 TO
bw000110 UNDERTAKE
bw000111 A
bw000112 NEW
bw000113 CULTIVATION;
bw000114 AND
bw000115 AS
bw000116 THE
bw000117 MEDICAL
bw000118 DEPARTMENT
bw000119 REQUIRED
bw000120 A
bw000121 SUPPLY
bw000122 DR
bw000123 GIBSON
bw000124 PROPOSED
bw000125 THAT
bw000126 GOVERNMENT
bw000127 SHOULD
bw000128 ENGAGE
bw000129 TO
bw000130 PURCHASE
bw000131 THE
bw000132 WHOLE
bw000133 QUANTITY
bw000134 WHICH
bw000135 MIGHT
bw000136 BE
bw000137 PRODUCED
bw000138 FOR
bw000139 THE
bw000140 FIRST
bw000141 THREE
bw000142 YEARS.
bw000143 126
bw000144 BEFORE
bw000145 ENTERTAINING
bw000146 THE
bw000147 PROPOSITION
bw000148 REV
bw000149 CONS
bw000150 1843
bw000151 12
bw000152 JULY
bw000153 V:3950&51
bw000154 AUGT
bw000155 V:4844&46
bw000156 SEPTR
bw000157 V:
bw000158 5315&17
bw000159 4TH
bw000160 YOU
bw000161 WILL
bw000162 MAKE
bw000163 YOUR
bw000164 OWN
bw000165 ARRANGEMENTS
bw000166 WITH
bw000167 THE
bw000168 POST
bw000169 OFFICE
bw000170 AND
bw000171 WAGON
bw000172 TRAIN
bw000173 ESTABTS
bw000174 THE
bw000175 POST
bw000176 MASTER
bw000177 GENERAL
bw000178 WILL
bw000179 BE
bw000180 DESIRED
bw000181 TO
bw000182 INSTRUCT
bw000183 HIS
bw000184 SUBORDINATES
bw000185 TO
bw000186 PAY
bw000187 THE
bw000188 READIEST
bw000189 ATTENTION
bw000190 TO
bw000191 ALL
bw000192 YOUR
bw000193 REQUISITIONS.
bw000194 5TH
bw000195 AT
bw000196 ALLAHABAD
bw000197 THE
bw000198 COMMISSIONER
bw000199 MR.
bw000200 R.
bw000201 LOWTHER
bw000202 HAS
bw000203 ALWAYS
bw000204 SHOWN
bw000205 HIMSELF
bw000206 MOST
bw000207 READY
bw000208 TO
bw000209 ASSIST
bw000210 IN
bw000211 ANY
bw000212 TRANSACTION
bw000213 OF
bw000214 THIS
bw000215 KIND
bw000216 AND
bw000217 HIS
bw000218 HORTICULTURAL
bw000219 TASTE
bw000220 AS
bw000221 WELL
bw000222 AS
bw000223 HIS
bw000224 LOCAL
bw000225 EXPERIENCE
bw000226 AND
bw000227 INFLUENCES
bw000228 ENABLE
bw000229 HIM
bw000230 TO
bw000231 MAKE
bw000232 HIS
bw000233 ARRANGEMENTS
bw000234 WITH
bw000235 EFFECT.
bw000236 6TH
bw000237 THE
bw000238 GOVT
bw000239 OF
bw000240 BENGAL
bw000241 WILL
bw000242 BE
bw000243 REQUESTED
bw000244 TO
bw000245 INSTRUCT
bw000246 THE
bw000247 COMMANDER
bw000248 OF
bw000249 THE
bw000250 RIVER
bw000251 STEAMERS
bw000252 TO
bw000253 PAY
bw000254 EVERY
bw000255 ATTENTION
bw000256 IN
bw000257 THEIR
bw000258 POWER
bw000259 TO
bw000260 MR
bw000261 LOWTHER'S
bw000262 INSTUCTIONS
bw000263 REGARDING
bw000264 THE
bw000265 TRANSPORT
bw000266 OF
bw000267 PACKAGES
bw000268 OF
bw000269 SEEDS
bw000270 OR
bw000271 OF
bw000272 WARD
bw000273 CASES.
bw000274 THEY
bw000275 WILL
bw000276 ALSO
bw000277 BE
bw000278 REQUESTED
bw000279 TO
bw000280 PLACE
bw000281 THE
bw000282 CARE
bw000283 OF
bw000284 THE
bw000285 PACKAGES
bw000286 ON
bw000287 THEIR
bw000288 ARRIVAL
bw000289 IN
bw000290 CALCUTTA
bw000291 IN
bw000292 THE
bw000293 HANDS
bw000294 OF
bw000295 DR
bw000296 FALCONER
bw000297 WITH
bw000298 WHOM
bw000299 AS
bw000300 WELL
bw000301 AS
bw000302 WITH
bw000303 MR.
bw000304 LOWTHER
bw000305 YOU
bw000306 SHOULD
bw000307 CORRESPOND
bw000308 DIRECT.
bw000309 7TH
bw000310 AS
bw000311 SOON
bw000312 AS
bw000313 THE
bw000314 SEASON'S
bw000315 OPERATIONS
bw000316 ARE
bw000317 CLOSED
bw000318 YOU
bw000319 WILL
bw000320 BE
bw000321 PLEASED
bw000322 TO
bw000323 FURNISH
bw000324 LISTS
bw000325 OF
bw000326 THE
bw000327 SEEDS
bw000328 AND
bw000329 PLANTS
bw000330 WHCH
bw000331 YOU
bw000332 HAVE
bw000333 DISPATCHED
bw000334 WITH
bw000335 THE
bw000336 DATES
bw000337 OF
bw000338 DESPATCHES
bw000339 AND
bw000340 THE
bw000341 NAME
bw000342 OF
bw000343 THE
bw000344 SHIP
bw000345 WHICH
bw000346 CARRIES
bw000347 EACH
bw000348 OF
bw000349 THE
bw000350 PACKAGES.
bw000351 THIS
bw000352 3185
bw000353 FORT
bw000354 ST
bw000355 GEORGE
bw000356 2D
bw000357 DECEMBER
bw000358 1791
bw000359 ORDERED
bw000360 AGREED
bw000361 THAT
bw000362 THE
bw000363 GARRISON
bw000364 STOREKEEPER
bw000365 BE
bw000366 DIRECTED
bw000367 TO
bw000368 ADJUST
bw000369 THE
bw000370 ABOVE
bw000371 MENTIONED
bw000372 EXTRAORDINARY
bw000373 DEFICIENCES
bw000374 AGREE
bw000375 ABLY
bw000376 TO
bw000377 HIS
bw000378 REQUEST
bw000379 ¬
bw000380 READ
bw000381 THE
bw000382 FOLLOWING
bw000383 LETTER
bw000384 FROM
bw000385 DOCTOR
bw000386 BERRY
bw000387 WITH
bw000388 THE
bw000389 ACCOUNTS
bw000390 ACCOM
bw000391 PANYING
bw000392 IT
bw000393 (
bw000394 ENTERED
bw000395 M:B:
bw000396 NO
bw000397 1022)
bw000398 TO
bw000399 C
bw000400 N
bw000401 WHITE
bw000402 ESQR
bw000403 CIVIL
bw000404 SECRETARY
bw000405 LETTER
bw000406 FROM
bw000407 DR
bw000408 BERRY
bw000409 EXPLANATION
bw000410 RELATIVE
bw000411 TO
bw000412 THE
bw000413 COMPANY'S
bw000414 NOPAL
bw000415 RY
bw000416 ¬
bw000417 SIR
bw000418 ,
bw000419 I
bw000420 HAVE
bw000421 RECEIVED
bw000422 YOUR
bw000423 LETTER
bw000424 OF
bw000425 THE
bw000426 26H
bw000427 INSTANT
bw000428 ,
bw000429 STATING
bw000430 THAT
bw000431 AS
bw000432 IHAVE
bw000433 REGULARLY
bw000434 DRAWN
bw000435 THE
bw000436 MONTHLY
bw000437 ALLOWANCE
bw000438 OF
bw000439 150
bw000440 PAGODAS
bw000441 FOR
bw000442 THE
bw000443 HONBLE
bw000444 COMPANY'S
bw000445 NOPALRY
bw000446 WITHOUT
bw000447 ANY
bw000448 MUSTER
bw000449 ,
bw000450 AND
bw000451 AS
bw000452 I
bw000453 HAVE
bw000454 NOT
bw000455 AS
bw000456 YET
bw000457 GIVEN
bw000458 IN
bw000459 ANY
bw000460 ACCOUNT
bw000461 OF
bw000462 THE
bw000463 APPROPRIATION
bw000464 OF
bw000465 THE
bw000466 32
bw000467 PAGODAS
bw000468 MONTHLY
bw000469 FOR
bw000470 CONTINGENCIES
bw000471 I
bw000472 AM
bw000473 DESIRED
bw000474 BY
bw000475 THE
bw000476 HONBLE
bw000477 PRESIDENT
bw000478 IN
bw000479 COUNCIL
bw000480 TO
bw000481 TRANSMIT
bw000482 MY
bw000483 ACCOUNTS
bw000484 OF
bw000485 THE
bw000486 EXPENDITURE
bw000487 OF
bw000488 THE
bw000489 SUMS
bw000490 DRAWN
bw000491 FOR
bw000492 THE
bw000493 ESTABLISHMENT
bw000494 FROM
bw000495 ITS
bw000496 COMMENCEMENT
bw000497 .
bw000498 YOU
bw000499 3186
bw000500 FORT
bw000501 ST
bw000502 GEORGE
bw000503 2D
bw000504 DECEMBER
bw000505 1791
bw000506 YOU
bw000507 WILL
bw000508 BE
bw000509 PLEASED
bw000510 TO
bw000511 INFORM
bw000512 THE
bw000513 HONBLE
bw000514 PRESIDENT
bw000515 IN
bw000516 COUNCIL
bw000517 ,
bw000518 THAT
bw000519 I
bw000520 HAVE
bw000521 ALWAYS
bw000522 FOR
bw000523 MY
bw000524 OWN
bw000525 SATISFACTION
bw000526 TRANSMITTED
bw000527 MY
bw000528 ACCOUNTS
bw000529 FOR
bw000530 EACH
bw000531 PARTICULAR
bw000532 DISBURSEMENT
bw000533 TO
bw000534 THE
bw000535 PAYMASTER
bw000536 GENERAL
bw000537 ,
bw000538 THOUGH
bw000539 THEY
bw000540 WERE
bw000541 NEVER
bw000542 DEMANDED
bw000543 BEFORE
bw000544 AND
bw000545 THAT
bw000546 HE
bw000547 HAD
bw000548 RECEIVED
bw000549 THEM
bw000550 UP
bw000551 TO
bw000552 THE
bw000553 1ST
bw000554 OF
bw000555 OCTOBER
bw000556 LAST
bw000557 BEFORE
bw000558 THE
bw000559 RECEIPT
bw000560 OF
bw000561 YOUR
bw000562 LETTER
bw000563 —
bw000564 THESE
bw000565 ACCOUNTS
bw000566 ARE
bw000567 ACCOUNTS
bw000568 CURRENT
bw000569 FOR
bw000570 SEVERAL
bw000571 MONTHS
bw000572 DIS
bw000573 BURSEMENTS
bw000574 ,
bw000575 AND
bw000576 ARE
bw000577 CERTAINLY
bw000578 MUSTER
bw000579 ROLLS
bw000580 ¬
bw000581 EXCEPT
bw000582 THAT
bw000583 EVERY
bw000584 INDIVIDUAL
bw000585 GARDINER
bw000586 ,
bw000587 SERVANT
bw000588 AND
bw000589 COOLEY
bw000590 IS
bw000591 NOT
bw000592 SPECIFIED
bw000593 BY
bw000594 NAME
bw000595 .
bw000596 WHEN
bw000597 I
bw000598 WAS
bw000599 ORDERED
bw000600 TO
bw000601 CAMP
bw000602 IN
bw000603 APRIL
bw000604 LAST
bw000605 ,
bw000606 BEING
bw000607 UNDER
bw000608 THE
bw000609 NECESSITY
bw000610 OF
bw000611 SELLING
